"STR_TIP_TIP","Tip: ","Совет: ","Astuce :","Tipp:","Wskazówka:","Dica:","Consejo:","Consigli:"
"STR_TIP_011","You can also earn money by killing enemy soldiers and destroying their vehicles.","За убийство вражеских игроков и техники Вы получаете деньги, в соответствии с нанесенным уроном.","Vous pouvez gagner de l'argent en tuant des ennemis et en détruisant leurs véhicules.","Sie können auch Geld verdienen, indem Sie gegnerische Soldaten töten und deren Fahrzeuge zerstören.","Możesz zdobyć pieniądze również za zabijanie wrogich żołnierzy oraz za niszczenie wrogich pojazdów.","Você pode ganhar dinheiro matando inimigos e destruindo seus veículos.","También puedes ganar dinero matando enemigos y destruyendo sus vehiculos.","You can also earn money by killing enemy soldiers and destroying their vehicles."
"STR_TIP_012","When your team captures a Control point, all friendly players in black-shaded zone receive monetary award.","При захвате точки, все игроки, находящиеся в заштрихованной области, получают большое денежное вознаграждение.","Quand votre équipe capture une zone, tous vos coéquipiers se trouvant dans la zone grisée reçoivent un bonus d'argent","Alle Spieler, die sich während der Eroberung eines Kontrollpunktes in der schwarz gestrichelten Zone aufgehalten haben, erhalten eine große Menge an Geld.","Gdy twoja drużyna przejmie punkt kontrolny wszyscy gracze w przyciemnionej strefie otrzymają dodatkowe fundusze.","Quando sua equipe captura uma área, todos os jogadores da sua equipe (que estão dentro da área marcada) recebem uma recompensa. ","Cuando tu equipo captura un punto de Control, todos los jugadores amigos de la zona sombreada recibirán una recompensa monetaria.","When your team captures a Control point, all friendly players in black-shaded zone receive monetary award."
"STR_TIP_013","All friendlies located at the Control point, but not in black-shaded zone receive lesser award on capture.","При захвате точки, все игроки, находящиеся не в заштрихованной области, но внутри Контрольной Точки, получают небольшое денежное вознаграждение.","Touts les coéquipiers se trouvant dans la zone de capture mais hors de la zone grisée reçoivent une somme d'argent inférieure.","Alle Spieler, die sich nicht in der schwarz gestrichelten Zone befinden, jedoch auf dem Kontrollpunkt sind, erhalten bei der Eroberung nur eine geringere Belohnung.","Wszyscy sojusznicy w okolicy punktu kontrolnego, nie będący w przyciemnionej strefie dostaną mniejszą nagrodę za przejęcie.","Todos os jogadores da sua equipe que estiverem fora da área de captura marcada, receberão uma recompensa menor.","Todos los aliados en el punto de Control, pero fuera de la zona sombreada, recibirán una recompensa monetaría inferior.","All friendlies located at the Control point, but not in black-shaded zone receive lesser award on capture."
"STR_TIP_014","You can buy additional ammunition and vehicles at the Main base.","Вы можете покупать дополнительное вооружение и технику на Главной Базе.","Vous pouvez acheter des armes et des véhicules à la base principale.","Sie können zusätzliche Bewaffnung und Fahrzeuge bei der Hauptbasis kaufen.","Możesz kupić dodatkową amunicję i pojazdy w głównej bazie.","Você pode comprar munição adicional e veículos na sua base.","Puedes comprar munición  y vehiculos adicionales en la base Principal.","You can buy additional ammunition and vehicles at the Main base."
"STR_TIP_015","Purchasing of ammunition is available: at the Main base, near MHQ, ammo crates and Ammunition trucks.","Вы можете покупать амуницию на Главной Базе, рядом с КШМ и у ящиков на Контрольных Точках.","L'achat d'armes est possible depuis la base principale, le MHQ, les caisses de munitions et les camions de munitions.","Sie können Munition bei der Hauptbasis, in der Nähe des MHQ, bei Munitionskisten und bei Munitions-LKW's kaufen.","Zakup amunicji jest możliwy: w głównej bazie, blisko MHQ, skrzynek z amunicją i cieżarówek z amunicją.","A compra de munição está disponível: na sua base, próximo ao MHQ, caixas de munição e caminhões de munição.","Puedes comprar munición: en la base Principal, cerca del MHQ, cajas de munición y camiones de Munición.","Purchasing of ammunition is available: at the Main base, near MHQ, ammo crates and Ammunition trucks."
"STR_TIP_016","Vehicle purchasing is available only at the Main base.","Покупка техники возможна только на Главной Базе.","L'achat de véhicules n'est possible qu'à la base principale.","Der Kauf von Fahrzeugen ist nur auf der Hauptbasis möglich.","Zakup pojazdów jest dostępny tylko w głównej bazie.","A compra de veículos está disponível apenas na sua base.","Solo se pueden comprar vehículos en la Base Principal.","Vehicle purchasing is available only at the Main base."
"STR_TIP_017","Heavy helicopters may carry loads. Use Action menu to attach a cable while hovering over load. Fly carefully.","Некоторые вертолёты могут поднимать грузы. Лететь с прицепленным грузом нужно осторожно, чтобы не оборвался трос.","Les hélicoptères lourds peuvent hélitreuiller des véhicules. Utilisez le menu Action pour attacher un câble quand votre hélicoptère survole le véhicule. Manoeuvrez prudemment.","Schwere Hubschrauber können einige Fahrzeuge transportieren. Während Sie über dem Fahrzeug in der Luft schweben, benutzen Sie das Aktionsmenü, um mit Ihrem Tragseil das Fahrzeug anzukoppeln. Fliegen Sie vorsichtig, damit das Tragseil nicht abreisst.","Cięzkie helikoptery mogą przenosić ładunki. Użyj menu akcji aby przyczepić kabel podczas unoszenia się nad ładunkiem. Leć ostrożnie.","O helicópteros de carga podem carregar veículos. Use o menu de Ação para usar o cabo de engate. Vôe com cuidado.","Los helicopteros pesados pueden llevar carga. Usa el menu de Acciones para enganchar la carga mientras la sobrevuelas. Vuela con cuidado.","Heavy helicopters may carry loads. Use Action menu to attach a cable while hovering over load. Fly carefully."
"STR_TIP_018","Every Control point captured by your team can be used for respawn.","Возрождаться можно на любой Контрольной Точке, захваченной Вашей командой.","Toutes les zones capturées par votre équipe peuvent être utilisées pour réapparaître.","Jeder Kontrollpunkt der von Ihrem Team erobert wurde, kann als Respawn-Punkt verwendet werden.","Każdy punkt kontrolny przejęty przez twoją drużyne może być użyty do ponownego odrodzenia.","Cada área capturada pode ser usada como local de respawn.","Cada punto de Control capturado por tu equipo puede ser usado para reaparecer.","Every Control point captured by your team can be used for respawn."
"STR_TIP_019","All the available respawn points are marked with yellow circles in the respawn dialog.","Все доступные для возрождения точки обозначены желтым маркером.","Les points de réapparition disponibles sont marqués par un cercle jaune sur l'écran de réapparition.","Alle verfügbaren Respawn-Punkte sind mit gelben Kreisen im Respawn-Menü markiert.","Wszystkie dostępne miejsca odrodzenia są zaznaczone na mapie żółtymi okręgami w oknie odrodzenia.","Todos os pontos de respawn disponíveis estão marcados com círculo amarelo.","Los puntos de reaparición disponibles están marcados en amarillo en el menú de reaparición","All the available respawn points are marked with yellow circles in the respawn dialog."
"STR_TIP_020","You can select any available spawnpoint or MHQ by clicking on it with the left mouse button.","Вы можете выбрать любую, доступную для возрождения, точку, кликая по ней левой кнопкой мыши.","Vous pouvez sélectionner n'importe quel point de réapparition ou le MHQ avec un clic gauche. ","Mit der linken Maustaste können Sie jeden verfügbaren Spawn-Punkt oder MHQ auswählen.","Możesz wybrać dowolne miejsce odrodzenia lub MHQ, przez klikniecię na nie lewym przyciskiem myszy.","Você pode selecionar um MHQ como ponto de respawn, clicando com o botão esquerdo do mouse.","Puedes seleccionar cualquier punto de reaparición o MHQ haciendo click sobre él con el botón izquierdo del ratón.","You can select any available spawnpoint or MHQ by clicking on it with the left mouse button."
"STR_TIP_021","You can respawn at MHQ if it has not moved for the last 30 seconds, and it is not in water.","Вы можете возродиться на КШМ в случае, если она не двигалась 30 секунд и не находится в воде.","Vous pouvez réapparaître à votre MHQ si celui ci n'a pas bougé depuis les 30 dernières secondes et si il n'est pas dans l'eau.","Sie können beim MHQ respawnen, wenn es sich in den letzten 30 Sekunden nicht bewegt hat und sich nicht im Wasser befindet.","Jeśli MHQ nie poruszyło się w ciągu ostatnich 30 sek, ani nie znajduje się w wodzie, możesz się w nim zrespić.","Você pode selecionar um MHQ como ponto de respawn, desde que não tenha se movimentado nos últimos 30 segundos, e não estiver na água.","Puedes aparecer en el MHQ si este no fue movido en los últimos 30 segundos, y si no esta en el agua.","You can respawn at MHQ if it has not moved for the last 30 seconds, and it is not in water."
"STR_TIP_022","You will get a warning for firing at your Main base. After 3 warnings, you will commit a suicide.","Вы получите предупреждение, при стрельбе на Главной Базе. После трёх выстрелов Вы погибните.","Vous recevrez un avertissement si vous tirer à l'intérieur de votre base principale. Après 3 avertissements vous serez automatiquement tué.","Sie erhalten eine Warnung, wenn Sie in der Hauptbasis das Feuer eröffnen. Nach 3 Warnungen sterben Sie.","Otrzymasz ostrzeżenie za strzelanie w swojej głównej bazie. Po 3 ostrzeżeniach popełnisz samobójstwo.","Você receberá uma advertência se atirar na sua base. Após 3 advertências, você será morto.","Recibirás una advertencía por disparar en la base principal. Después de 3 advertencias, cometerás un suicidio.","You will get a warning for firing at your Main base. After 3 warnings, you will commit a suicide."
"STR_TIP_023","East and West <t color='#00ff00'>Safezones</t> are marked on the map with <t color='#ff0000'>Red</t> and <t color='#0000ff'>Blue</t> semi-transparent circles.","Главные Базы <t color='#ff0000'>Красных</t> и <t color='#0000ff'>Синих</t> отмечены полу-прозрачными кругами.","<t couleur='#00ff00'>Les zones sécurisées</t> Est et Ouest sont marquées sur la carte avec des cercles <t color='#ff0000'>Rouge</t> et <t color='#0000ff'>Bleu</t> semi-transparents.","Ost und West <t color='#00ff00'>Hauptbasen</t> sind auf der Karte markiert als <t color='#ff0000'>Rot</t> und <t color='#0000ff'>Blau</t> halbtransparente Kreise.","Wschód i Zachód <t color='#00ff00'>Strefy bezpieczeństwa</t> sa zaznaczone na mapie <t color='#ff0000'>Czerwonymi</t> i <t color='#0000ff'>Niebieskimi</t> na wpół przezroczystymi okręgami.","Leste e Oeste <t color='#00ff00'>Áreas de segurança</t> estão marcados no mapa em <t color='#ff0000'>Vermelho</t> ou <t color='#0000ff'>Azul</t> com círculos semi-transparentes.","Las Zonas seguras</t> de Este y Oeste <t color='#00ff00'> estan marcadas en el mapa con semi circulos transparentes <t color='#ff0000'>Red</t> y <t color='#0000ff'>Blue</t> .","East and West <t color='#00ff00'>Safezones</t> are marked on the map with <t color='#ff0000'>Red</t> and <t color='#0000ff'>Blue</t> semi-transparent circles."
"STR_TIP_024","A warning message when you are close to the enemy <t color='#00ff00'>Safezone</t> means that all the enemies can see you on the map.","Сообщение о том, что вы слишком близко подошли к вражеской <t color='#00ff00'>Главной Базе</t> означает, что Ваше положение отмечено на картах игроков вражеской стороны.","Un message d'avertissement vous indiquant que vous êtes près de la base principale ennemie signifie que les ennemis peuvent voir votre position sur la carte.","Eine Warnung, wenn Sie zu nah an der gegnerischen <t color='#00ff00'>Hauptbasis</t>bedeutet, dass alle Gegner Sie auf der Karte sehen können.","Ostrzeżenie gdy jesteś w pobliżu wroga <t color='#00ff00'>Strefa bezpieczeństwa</t> oznacza, że wszyscy wrogowie widzą cie na mapie.","Receberá uma mensagem de advertência quanto se aproximar de uma <t color='#00ff00'>Área de segurança</t> inimiga, e todo os inimigos poderão ver você no mapa.","Recibirás un mensaje de advertencía cuando estas cerca de la Zona segura </t> enemiga  <t color='#00ff00'> lo que significa que todo los enemigos pueden verte en el mapa.","A warning message when you are close to the enemy <t color='#00ff00'>Safezone</t> means that all the enemies can see you on the map."
"STR_TIP_025","If you try to enter the enemy <t color='#00ff00'>Safezone</t>, you will die.","Вы умрёте, если попытаетесь войти во вражескую <t color='#00ff00'>Главную Базу</t>.","Si vous essayez d'entrer dans la base principale ennemie, vous serez tué.","Falls Sie es versuchen, die gegnerische <t color='#00ff00'>Hauptbasis</t>zu betreten, werden Sie sterben.","Jeśli spróbujesz wejsc do wrogiej <t color='#00ff00>Strefy bezpieczeństwa</t> zginiesz.","Se você entrar na <t color='#00ff00'>Área de segurança</t>inimiga, você será morto.","Si tratas de entrar en la Zona segura </t> enemiga <t color='#00ff00'> ,  morirás.","If you try to enter the enemy <t color='#00ff00'>Safezone</t>, you will die."
"STR_TIP_026","You aren't allowed to place explosives at Control Points.","Нельзя устанавливать мины внутри заштрихованной области Контрольной Точки.","Il est impossible de placer des explosifs à l'intérieur des zones de capture.","Sie können keine Minen in der gestrichelten Zone des Kontrollpunktes platzieren.","Nie możesz podkładać ładunków wybuchowych przy Punktach Kontrolnych.","Você não pode colocar explosivos nos pontos de captura.","No se te permite colocar explosivos en los puntos de control.","You aren't allowed to place explosives at Control Points."
"STR_TIP_027","All the vehicles, purchased by players, have their owners. Owners can lock the vehicle and push the crew out.","Закрывать транспортное средство может только ее владелец.","Si un joueur achète un véhicule, il en devient le propriétaire. Seul le propriétaire peut le verrouiller et peut éjecter les autres joueurs du véhicule.","Alle Fahrzeuge, die von Spielern gekauft wurden, haben ihren Besitzer. Nur Besitzer können ihr Fahrzeug abschließen und die Besatzung aus diesem rauswerfen.","Wszystkie pojazdy, kupione przez graczy, mają swoich właścicieli. Właściciel może zamknąć swój pojazd, i wyrzucić załogę.","Todos os veículos comprados pertencem aos seus proprietários. Os proprietários podem trancar e expulsar a tripulação para fora.","Todos los vehiculos comprados por jugadores, tienen sus propietarios. Los propietarios pueden bloquear el vehiculo y expulsar a la tripulación.","All the vehicles, purchased by players, have their owners. Owners can lock the vehicle and push the crew out."
"STR_TIP_028","Vehicle will be blown up and lost if it hasn't been used for 20 minutes by any player.","Покинутое транспортное средство самоуничтожится через 20 минут.","Un véhicule acheté est détruit si il n'a pas été utilisé depuis 20 minutes.","Fahrzeuge werden automatisch zerstört, wenn sie länger als 20 Minuten lang von keinem Spieler benutzt wurden.","Pojazd zostanie wysadzony i zniszczony jeśli nie był używany przez 20 min.","Todo veículo será explodido e excluído se não foi usado em 20 minutos por qualquer jogador.","El vehiculo explotará y se perderá si no es usado en 20 minutos por algún jugador.","Vehicle will be blown up and lost if it hasn't been used for 20 minutes by any player."
"STR_TIP_029","You can repair, rearm and refuel your vehicle at your Main base and near Repair trucks.","Осуществлять заправку/починку/пополнение боезапаса можно на Главной Базе или рядом с соответствующими грузовиками.","Vous pouvez réparer, réarmer, et refaire le plein de carburant  d'un véhicule à votre base principale, ou à proximité d'un véhicule de maintenance.","Sie können Ihr Fahrzeug in der Hauptbasis und neben bestimmten LKW's reparieren, auftanken und aufmunitionieren.","Możesz naprawić, odnowić uzbrojenie oraz uzupełnić paliwo swojego pojazdu w głównej bazie oraz w pobliżu ciężarówek naprawczych.","Você pode reparar, rearmar e reabastecer seu veículo na sua base e próximo aos caminhões de reparo.","Puedes reparar, rearmar y repostar tu vehiculo en la base principal o cerca de los camiones de reparación.","You can repair, rearm and refuel your vehicle at your Main base and near Repair trucks."
"STR_TIP_030","In case of emergency you may carry out field repairs trying to fix any important systems of the vehicle.","В случае необходимости, можно применить полевой ремонт.","En cas d'urgence vous pouvez utiliser les kits de réparations pour réparer un véhicule endommagé.","In Notfällen können Sie eine Feldreparatur durchführen, um die wichtigsten Systeme des Fahrzeugs instandzusetzen.","W razie wypadku, możesz przeprowadzić naprawę pojazdu, próbując naprawić którykolwiek z ważnych systemów pojazdu.","Em caso de emergência você pode utilizar as áreas de reparos para consertar os sistemas importantes do seu veículo.","En caso de emergencia puedes realizar reparaciones de campo para intentar arreglar los sistemas principales del vehiculo.","In case of emergency you may carry out field repairs trying to fix any important systems of the vehicle."
"STR_TIP_031","Every vehicle has some repair kits inside. All kinds of technical service are accessible in the Action menu.","Полевой ремонт можно использовать несколько раз на каждом транспортном средстве. Все остальные виды обслуживания можно получить на Главной Базе.","Chaque véhicule acheté possède des kits de réparation. Le joueur peut les utiliser avec le menu Action.","Jedes Fahrzeug besitzt einige Reparatur-Kits bei sich. Alle Arten des technischen Services sind im Aktionsmenü verfügbar.","Każdy pojazd jest wyposażony w zestaw naprawczy. Wszelkie usługi techniczne sa dostępne w menu Akcji.","Todos os veículos possuem alguns kits de reparo no interior. Todos os procedimentos de reparo são acessíveis a partir do menu de Ação.","Cada vehiculo tiene algunos kits de reparación dentro. Toda clase de servicios técnicos están accesibles en el menu de acción.","Every vehicle has some repair kits inside. All kinds of technical service are accessible in the Action menu."
"STR_TIP_032","Repair kits are reloaded to the vehicle when it gets a high-grade technical service at Main base or Repair truck.","Комплекты для полевого ремонта пополняются при ремонте на Главной Базе.","Les kits de réparation sont restauré quand un vehicule est réparé à la base principale ou par un camion de réparation.","Das Fahrzeug erhält neue Reparatur-Kits, wenn es in der Hauptbasis oder bei einem Reparatur-LKW repariert wird.","Zestawy naprawcze są uzupełniane, gdy pojazd otrzyma wysokiej jakości usługę techniczną w głównej bazie lub przy ciężarówce naprawczej.","Os kits de reparo podem ser adquiridos no interior dos veículos, na sua base ou nos caminhões de reparo.","Los Kits de reparación son cargados en el vehiculo cuando estos pasan una reparación de alto grado en una base principal o en un camión de reparación.","Repair kits are reloaded to the vehicle when it gets a high-grade technical service at Main base or Repair truck."
"STR_TIP_033","The 'Options' section of 'Main menu' allows you to: flip overturned vehicles, transfer funds to friendlies etc.","Диалог Опций в Главное Меню позволяет переворачивать технику, переводить деньги другим игрокам и т.д.","la section 'Options' du menu principal vous permet de rétablir un véhicule qui s'est retourné, de transférer de l'argent à vos coéquipiers etc.","Unter ""Optionen"" im Hauptmenü können Sie: Umgekippte Fahrzeuge wieder aufstellen, Geld an Spieler überweisen, usw.","Sekcja opcji w menu głównym pozwala ci na: odwrócić przewróconych pojazdów, przesyłanie funduszy do sojuszników itd.","Em 'Opções' dentro do 'Menu principal' você pode: virar veículos capotados, transferir dinheiro para seus amigos, etc...","La sección ""Opciones"" del ""Menu Principal"" te permite : poner en pie vehículos volcados, transferir fondos a aliados etc...","The 'Options' section of 'Main menu' allows you to: flip overturned vehicles, transfer funds to friendlies etc."
"STR_TIP_034","If you come close to an enemy infantrymen, you will be able to kill him with a knife using the Action menu.","Можно убить врага ножом, если подойти к нему очень близко.","Si vous vous approchez assez près d'un soldat ennemi vous aurez la possibilité de le tuer avec votre couteau. (menu Action)","Falls Sie nah genug an einem feindlichen Soldaten kommen sollten, können Sie diesen mit einem Messer töten, indem Sie das Aktionsmenü verwenden.","Jeśli podejdziesz blisko wrogiego żołnierza, będziesz mógł go zabić nożem wybierając opcję z menu akcji","Se você chegar perto de um soldado inimigo, você poderá matá-lo com uma faca usando o menu de Ação.","Si estas cerca de una infanteria enemiga, podras matarlo con un cuchillo usando el menú de acción.","If you come close to an enemy infantrymen, you will be able to kill him with a knife using the Action menu."
"STR_TIP_035","You can heal your injured teammates with your First Aid Kit by using the Action menu.","Вы можете лечить себя и других игроков.","Vous pouvez soigner vos coéquipiers avec votre kit de premiers soins. (menu Action)","Sie können Teamkollegen mit Ihrem Erste-Hilfe-Päckchen heilen, indem Sie das Aktionsmenü verwenden.","Możesz opatrywać rannych kolegów swoimi apteczkami używając menu akcji","Você pode curar seus companheiros feridos com seu Kit de Primeiros Socorros usando o menu de Ação.","Puedes curar las heridas de tus compañeros con tu botiquin usando el menú de acción.","Puoi curare i tuoi compagni feriti con il kit di pronto soccorso tramite il menu a rotellina."
"STR_TIP_036","A player preparing to shoot from a rocket-launcher may hit you by the backblast, so you better keep the distance.","Не стойте позади человека, стреляющего из РПГ. Не приближайтесь к стреляющему танку.","Restez à distance d'un joueur tirant au lance-roquette, l'éjection des gaz pourrait vous blesser ou vous tuer.","Falls Sie sehen sollten, dass ein Spieler von seinem Raketenwerfer feuern will, sollten Sie nicht hinter ihm stehen, da Sie ansonsten wegen der Rückstrahlzone verletzt werden.","Gracz szykujący się do strzału z wyrzutni  rakiet może cię ranić tylnim ogniem rakiety, więc lepiej się oddal.","Quanto um jogador estiver se preparando para atirar com um lança míssel, mantenha distância para não se ferir.","Un jugador disparando con un lanza-misiles puede dañarte con la llamarada trasera así que mantente a distancia","A player preparing to shoot from a rocket-launcher may hit you by the backblast, so you better keep the distance."
"STR_TIP_037","If you are injured, you can heal yourself with the First Aid Kit using the Action menu.","Вы можете вылечить себя полностью под зонтиком от солнца.","Si vous êtes blessé, vous pouvez vous soigner avec un kit de premiers soins. (menu Action)","Falls Sie verletzt sein sollten können Sie Ihr Erste-Hilfe-Päckchen verwenden, indem Sie das Aktionsmenü benutzen.","Jeśli jesteś ranny możesz się opatrzyć zestawem pierwszej pomocy z poziomu menu akcji","Se você estiver ferido, você pode curar usando o Kit de Primeiros Socorros usando o menu de Ação.","Si estas herido, puedes curarte con el botiquin usando el menú de Acción.","Se sei ferito, puoi curarti con il kit di pronto soccorso tramite il menu a rotella."
